term,estimate,std.error,statistic,p.value
(Intercept),-503.69522991752916,67.7767279316041,-7.4316840793174,2.483992783468404e-13
sample_size,3.626703293077715e-4,2.1639170860771002e-4,1.675989951931317,0.09408594304788827
stateArizona,4.008604202685429,1.1019470128778206,3.6377467844090314,2.90601025892297e-4
stateCalifornia,17.263829588675446,1.314813324174611,13.130251474682165,3.583902289021081e-36
stateColorado,10.735324141296799,2.0070024203043118,5.348934327477819,1.121440104898309e-7
stateConnecticut,9.841586117045042,2.6234711165291804,3.7513605753225665,1.8708146230481302e-4
stateFlorida,1.4746798705323951,1.1482083883658332,1.284331211541841,0.19935512440295378
stateGeorgia,4.080041778020523,1.1009346480306024,3.7059799919269243,2.233750064287354e-4
stateIllinois,15.327679331899947,2.008374084313986,7.6318846432115395,5.867817082948157e-14
stateIndiana,-1.12800767278367,1.750793918982721,-0.6442835222086482,0.519555036460497
stateIowa,1.2406196286947972,2.624851166423998,0.47264379960444475,0.636581413771742
stateMaine,10.942435493205066,1.245191229304312,8.787755033673504,7.569974841860968e-18
stateMaryland,19.60504242475263,1.2765641659555043,15.35766313013989,1.8015239572663574e-47
stateMassachusetts,19.23426752606919,1.5175731146161437,12.67435970024701,5.30078417088983e-34
stateMichigan,4.812832493370371,1.0988572506669116,4.379852333366682,1.3265587853053103e-5
stateMinnesota,6.871095354405659,1.2326728964930405,5.574143289719401,3.283724243939882e-8
stateMissouri,-0.980403594883025,1.516434602613207,-0.646518876048817,0.5181074787629318
stateMontana,-3.786767565134769,1.3143237616220567,-2.881152784197842,0.004055950504699548
stateNebraska,3.3707652940573962,1.2772818651245499,2.639014446297417,0.008457830438873415
stateNevada,4.449065577637694,1.1137535332734756,3.994659001943882,7.005493142468971e-5
stateNew Hampshire,8.099462894122233,1.278555735732484,6.334853200186893,3.741094236926125e-10
stateNew Jersey,12.603753472871583,2.627092050292516,4.797606338715161,1.8776402808576662e-6
stateNew Mexico,6.207009932882074,1.3701808961026498,4.530066030359442,6.686692579031761e-6
stateNew York,12.00760085447472,1.4041797258357933,8.551327606818692,5.14723240973745e-17
stateNorth Carolina,4.431477811160394,1.1007881256765646,4.02573184411553,6.155852767185883e-5
stateNorth Dakota,-3.268413227532104,2.625727458867577,-1.2447648427844467,0.2135407984539892
stateOhio,1.0651732581044615,1.1867331594084354,0.8975676205385806,0.3696550849822434
stateOregon,9.078898817492478,2.625317562755181,3.458209759570756,5.691575781218198e-4
statePennsylvania,5.05999459263587,1.0929737014454406,4.629566645514075,4.200581164904334e-6
stateRhode Island,12.540630296835515,1.7498505618787845,7.166686441710117,1.5950495377860047e-12
stateSouth Carolina,-2.2064973584463212,2.628419039706777,-0.839477010748056,0.40142362699820633
stateTennessee,-7.3408516716563605,1.6079049478370324,-4.565476138083496,5.672827010809124e-6
stateTexas,1.473506487436725,1.1693502738946238,1.2601070186857546,0.20795594455833397
stateUtah,-5.748322023093079,1.518760912289255,-3.784876195179749,1.639238020649372e-4
stateVermont,26.117116658846562,2.0069455636328652,13.013365749477908,1.3051258634539304e-35
stateVirginia,5.8407429678126315,1.219647386559633,4.788878353019827,1.959047214043134e-6
stateWashington,12.75632913597252,1.609849205582278,7.9239279627799615,6.746677556899058e-15
stateWest Virginia,-8.411644531965699,2.627925328607587,-3.200868928959496,0.0014179448050316392
stateWisconsin,5.871335999816232,1.0986014309000358,5.344373159068348,1.1491572443158739e-7
end_date,0.027350055421188915,0.0033913665720113344,8.064611961121113,2.3226814597677706e-15
